,plate,label
0,淞南高境,84
1,徐汇中心,49
2,曹路,61
3,张江,47
4,古美罗阳,28
5,惠南,52
6,金桥,109
7,梅陇春申,72
8,莘庄,101
9,人民广场,13
10,共康泗塘,16
11,北蔡,19
12,打浦桥,53
13,高行,125
14,江宁路,75
15,泗泾,78
16,周康,30
17,七宝,0
18,桃浦,71
19,三林,2
20,虹桥,102
21,田林,88
22,陆家嘴,117
23,淮海中路,86
24,浦江,82
25,彭浦,48
26,颛桥,123
27,黄浦滨江,127
28,金杨,108
29,青浦新城,120
30,南翔,26
31,马桥,124
32,长寿,113
33,曲阳,58
34,老西门,97
35,新华路,54
36,石化,92
37,真新,91
38,江川路,76
39,浦东其它,81
40,花木,100
41,大宁,39
42,临港新城,9
43,松江新城,68
44,浦东世博,80
45,凉城,17
46,长征,114
47,江桥,77
48,真如,90
49,安亭汽车城,42
50,南站,25
51,九亭,10
52,白鹤,89
53,川沙,45
54,洋泾,79
55,长桥,115
56,五角场,11
57,徐泾,51
58,华泾,21
59,黄兴,126
60,不夜城,4
61,碧云,93
62,光新,15
63,南桥新城,24
64,杨行,65
65,四川北路,34
66,古北,27
67,顾村,122
68,长兴岛,112
69,新桥,56
70,金虹桥,111
71,南京西路,23
72,联洋,98
73,武宁,74
74,庄行,46
75,东城,5
76,新江湾城,57
77,中山公园,8
78,金山新城,107
79,塘桥,36
80,华新镇,20
81,朱家角,63
82,赵巷,104
83,龙华,128
84,西郊,103
85,华漕,22
86,青浦其它,119
87,罗店,95
88,嘉定主城区,32
89,朱泾,64
90,唐镇,31
91,佘山,14
92,外高桥,37
93,徐汇滨江,50
94,鞍山,121
95,万里,1
96,航头,99
97,曹家渡,59
98,新场,55
99,吴泾,29
100,北外滩,18
101,嘉定北部,33
102,月浦,62
103,曹杨,60
104,中原,7
105,奉贤其它,41
106,金汇,110
107,上大,3
108,东外滩,6
109,大华,38
110,罗泾,96
111,陈家镇,118
112,长风,116
113,淞宝,85
114,重固,105
115,崇明新城,44
116,柘林,70
117,金山中部,106
118,松江中部,66
119,祝桥,94
120,松江南部,67
121,海湾,83
122,奉城,40
123,崇明其它,43
124,枫泾,69
125,亭林,12
126,堡镇,35
127,漕泾,87
128,横沙岛,73
